feature,coefficient,odds_ratio,absolute_coefficient
categorical__primary_cwe_CWE-78,2.083557101519981,8.032992323092948,2.083557101519981
categorical__primary_cwe_CWE-532,2.0602589193585836,7.848001546805807,2.0602589193585836
categorical__primary_cwe_CWE-352,2.0285869001293446,7.603334492850557,2.0285869001293446
categorical__primary_vendor_Red Hat,2.023000908560129,7.56098073447554,2.023000908560129
categorical__primary_cwe_CWE-476,-2.0075744517597918,0.13431406512845376,2.0075744517597918
categorical__primary_cwe_CWE-126,-1.9838492078225591,0.13753880165604573,1.9838492078225591
categorical__primary_vendor_GitLab,1.9837127027852626,7.269683116619924,1.9837127027852626
categorical__primary_cwe_CWE-22,1.933074108270482,6.910721928801615,1.933074108270482
categorical__primary_cwe_CWE-400,1.9158446204953172,6.792673606135462,1.9158446204953172
"categorical__primary_vendor_MediaTek, Inc.",-1.9092114483101685,0.14819720168585857,1.9092114483101685
categorical__primary_cwe_CWE-20,1.9031614192550768,6.7070648042691285,1.9031614192550768
categorical__primary_cwe_CWE-129,-1.8913001028342318,0.15087552757009276,1.8913001028342318
"categorical__primary_vendor_Qualcomm, Inc.",1.8707456680375287,6.493136318792054,1.8707456680375287
categorical__primary_cwe_CWE-287,1.8557851711606892,6.396718798491886,1.8557851711606892
categorical__primary_cwe_CWE-367,1.8474395239596377,6.34355618691911,1.8474395239596377
categorical__primary_cwe_CWE-319,-1.8404576360244038,0.15874476215951924,1.8404576360244038
categorical__primary_cwe_CWE-122,1.839214742976888,6.291595800940611,1.839214742976888
categorical__primary_vendor_TIBCO Software Inc.,-1.8250073527829023,0.16121645873579743,1.8250073527829023
categorical__primary_cwe_CWE-77,1.8060849893925288,6.086571733020707,1.8060849893925288
categorical__primary_vendor_NVIDIA,-1.7960066143811595,0.165960310202152,1.7960066143811595
categorical__primary_vendor_Progress Software Corporation,1.7902145812308394,5.990737828367751,1.7902145812308394
numeric__vendor_count,-1.7760207257536362,0.16931054163851667,1.7760207257536362
categorical__primary_vendor_Jenkins Project,-1.7584626492608404,0.1723095605353276,1.7584626492608404
categorical__primary_cwe_CWE-862,-1.7576450714049168,0.1724504946208285,1.7576450714049168
categorical__primary_cwe_CWE-191,-1.7396437565091232,0.175582939756152,1.7396437565091232
categorical__primary_vendor_JetBrains,1.7317462934932466,5.650512751357482,1.7317462934932466
"categorical__primary_vendor_abode systems, inc.",-1.7250915493556278,0.1781567408914551,1.7250915493556278
categorical__user_interaction_REQUIRED,-1.713802206073072,0.18017940931431048,1.713802206073072
categorical__primary_vendor_Foxit,-1.7101177119052957,0.18084450381306774,1.7101177119052957
categorical__primary_cwe_CWE-732,-1.6782098464996378,0.18670791287491162,1.6782098464996378
categorical__primary_vendor_SAP SE,1.66191687085102,5.269401932667619,1.66191687085102
categorical__primary_vendor_CentOS Web Panel,-1.6579769709715289,0.1905240261260308,1.6579769709715289
categorical__primary_cwe_CWE-269,1.649302618624003,5.203349842312219,1.649302618624003
categorical__primary_cwe_CWE-591,1.621915668090278,5.0627796382396335,1.621915668090278
categorical__primary_vendor_CODESYS,-1.6210111077285145,0.19769870330518552,1.6210111077285145
categorical__primary_cwe_CWE-680,-1.6151583720738956,0.1988591742069912,1.6151583720738956
categorical__primary_vendor_HP Inc.,-1.5982935339723012,0.20224134167499402,1.5982935339723012
categorical__primary_vendor_Synology,-1.586651085480706,0.20460968598997242,1.586651085480706
categorical__primary_cwe_None,1.5834451562769147,4.8717107378227515,1.5834451562769147
categorical__primary_vendor_Schneider Electric,-1.5703532452721505,0.20797170435860102,1.5703532452721505
categorical__primary_cwe_CWE-190,1.5648812665145577,4.782107105941274,1.5648812665145577
categorical__primary_vendor_Oracle Corporation,1.5621127775145294,4.768886204426059,1.5621127775145294
categorical__primary_cwe_CWE-250,-1.5500181191957125,0.21224412809900656,1.5500181191957125
categorical__primary_vendor_Bentley,-1.5496185142194863,0.2123289588570374,1.5496185142194863
categorical__primary_cwe_CWE-788,-1.5431419924821452,0.21370857470819937,1.5431419924821452
categorical__primary_vendor_vim,-1.541051471215474,0.21415580433714554,1.541051471215474
categorical__primary_cwe_CWE-863,1.5114893276291756,4.53347760241283,1.5114893276291756
categorical__primary_vendor_Rockwell Automation,-1.4916900245221207,0.22499209189648595,1.4916900245221207
categorical__primary_cwe_CWE-200,1.472734928216919,4.361146267585626,1.472734928216919
categorical__primary_cwe_CWE-522,1.4665643573961502,4.334318362550517,1.4665643573961502
categorical__primary_vendor_Lenovo,-1.4431912484978902,0.23617286848986926,1.4431912484978902
"categorical__primary_vendor_Unisoc (Shanghai) Technologies Co., Ltd.",-1.4350820649023965,0.23809582390236972,1.4350820649023965
categorical__primary_cwe_CWE-79,1.4325326682219497,4.189295863838545,1.4325326682219497
categorical__primary_cwe_CWE-264,-1.4260475867589517,0.24025664165236296,1.4260475867589517
categorical__primary_cwe_CWE-274,-1.4232546080174413,0.2409286113066633,1.4232546080174413
categorical__primary_vendor_Jenkins project,-1.415542289935798,0.2427939130465505,1.415542289935798
categorical__primary_vendor_Bosch,-1.3983312967970856,0.24700880460951902,1.3983312967970856
categorical__primary_vendor_WAGO,-1.3887531747600022,0.24938605169152525,1.3887531747600022
categorical__primary_cwe_CWE-307,-1.383731997493514,0.2506414123214514,1.383731997493514
categorical__primary_vendor_SAP,-1.3817873236703675,0.25112930235472075,1.3817873236703675
categorical__primary_cwe_CWE-611,-1.3786380654941788,0.2519214200002541,1.3786380654941788
categorical__primary_cwe_CWE-290,1.3785282256981621,3.969055772371974,1.3785282256981621
categorical__primary_vendor_HCL Software,-1.3737722791840827,0.25315020286996903,1.3737722791840827
categorical__primary_cwe_CWE-843,-1.3654971803038671,0.25525373730430967,1.3654971803038671
categorical__primary_cwe_CWE-908,-1.3607847023930266,0.25645945362746275,1.3607847023930266
categorical__primary_cwe_CWE-613,-1.336654757187382,0.26272307266779155,1.336654757187382
categorical__attack_complexity_HIGH,-1.3254264659489972,0.26568962734551493,1.3254264659489972
categorical__primary_vendor_AMD,-1.3236837442307545,0.266153054124069,1.3236837442307545
categorical__primary_cwe_CWE-295,-1.319656647028732,0.2672270394137723,1.319656647028732
categorical__primary_cwe_CWE-131,-1.308859011469722,0.2701280936743496,1.308859011469722
categorical__primary_cwe_CWE-74,1.2983816479498442,3.6633632563037546,1.2983816479498442
categorical__primary_cwe_CWE-321,-1.2860773326230839,0.2763526994220316,1.2860773326230839
categorical__primary_cwe_CWE-434,1.2843697822300268,3.6123906469143416,1.2843697822300268
categorical__primary_cwe_CWE-770,-1.2815335808055783,0.2776112345727167,1.2815335808055783
categorical__primary_cwe_CWE-639,-1.274428677170622,0.2795906591259734,1.274428677170622
categorical__primary_vendor_tensorflow,-1.272859547019629,0.28002971763903306,1.272859547019629
categorical__primary_cwe_CWE-415,1.2712112546660936,3.5651682748227316,1.2712112546660936
categorical__primary_cwe_CWE-601,-1.2672951743159322,0.2815922505822916,1.2672951743159322
categorical__primary_cwe_CWE-664,1.2671591151450474,3.5507509457990123,1.2671591151450474
categorical__primary_cwe_CWE-285,-1.2627645290218041,0.2828709396432671,1.2627645290218041
categorical__primary_cwe_CWE-754,-1.2562898949733183,0.28470836737761507,1.2562898949733183
categorical__primary_vendor_D-Link,-1.2414104760823,0.2889763361424333,1.2414104760823
categorical__primary_vendor_mySCADA,-1.24060270104039,0.2892098583184667,1.24060270104039
categorical__privileges_required_HIGH,-1.2271587732399918,0.29312422806852334,1.2271587732399918
categorical__primary_vendor_infrequent_sklearn,1.2107942952766528,3.3561493677141074,1.2107942952766528
categorical__primary_cwe_CWE-119,1.2073636935594307,3.3446554826735047,1.2073636935594307
categorical__attack_vector_ADJACENT_NETWORK,-1.182825575097939,0.306411724932174,1.182825575097939
categorical__primary_vendor_Zoom Video Communications Inc,-1.1825007568458599,0.3065112692191085,1.1825007568458599
categorical__primary_vendor_Insteon,-1.1662111250039975,0.31154511337280644,1.1662111250039975
categorical__primary_vendor_Parallels,-1.165550924692254,0.31175086346444136,1.165550924692254
categorical__primary_cwe_CWE-472,-1.162145159224987,0.3128144238802468,1.162145159224987
categorical__primary_cwe_CWE-489,-1.1545894917128754,0.31518689718315007,1.1545894917128754
categorical__primary_cwe_CWE-426,-1.1544986078706354,0.31521554388113104,1.1544986078706354
categorical__primary_cwe_CWE-59,1.1528962483307916,3.1673530792925835,1.1528962483307916
categorical__primary_cwe_CWE-88,-1.1425483079143597,0.31900506202241824,1.1425483079143597
categorical__primary_cwe_CWE-305,-1.141714324492588,0.3192712179249848,1.141714324492588
categorical__primary_cwe_CWE-73,-1.1382877052373497,0.3203671153672989,1.1382877052373497
categorical__primary_vendor_Moxa,-1.127804907014986,0.32374312328419896,1.127804907014986
categorical__primary_vendor_InHand Networks,-1.1269664990528494,0.3240146659122919,1.1269664990528494
categorical__primary_cwe_CWE-399,-1.1266209020640383,0.3241266637571061,1.1266209020640383
categorical__primary_vendor_ScienceLogic,-1.1253246850081895,0.32454707467996396,1.1253246850081895
categorical__primary_cwe_CWE-401,-1.1148206488589552,0.3279740961533384,1.1148206488589552
categorical__primary_cwe_CWE-693,-1.1050666314856952,0.33118881390405003,1.1050666314856952
categorical__primary_vendor_SAP_SE,-1.0968225459560337,0.33393044841915637,1.0968225459560337
categorical__primary_vendor_NETGEAR,-1.0903715085011425,0.3360916096202832,1.0903715085011425
categorical__primary_cwe_CWE-209,-1.08408217466604,0.33821206308254775,1.08408217466604
categorical__primary_vendor_ABB,-1.081257118120918,0.339168882182669,1.081257118120918
categorical__primary_cwe_CWE-345,-1.0804274756993957,0.33945038783375625,1.0804274756993957
categorical__primary_cwe_CWE-280,-1.0802556560194299,0.3395087171016727,1.0802556560194299
categorical__primary_cwe_CWE-170,-1.0736473048823418,0.34175973949969773,1.0736473048823418
categorical__primary_vendor_Accusoft,-1.0624115359096387,0.3456213263008569,1.0624115359096387
categorical__primary_vendor_SICK AG,-1.062280663467897,0.34566656156770825,1.062280663467897
categorical__primary_vendor_IBM,1.050036802019121,2.857756287329461,1.050036802019121
categorical__primary_cwe_CWE-201,-1.049837833453284,0.3499945019090725,1.049837833453284
categorical__integrity_impact_None,-1.0444584833063089,0.35188231794371627,1.0444584833063089
categorical__availability_impact_None,-1.0444584833063089,0.35188231794371627,1.0444584833063089
categorical__scope_None,-1.0444584833063089,0.35188231794371627,1.0444584833063089
categorical__confidentiality_impact_None,-1.0444584833063089,0.35188231794371627,1.0444584833063089
categorical__confidentiality_impact_NONE,-1.0430672458490717,0.35237221050440193,1.0430672458490717
categorical__primary_vendor_PDF-XChange,-1.0427214581632407,0.35249407754447,1.0427214581632407
categorical__primary_vendor_IDAttend Pty Ltd,-1.0401969972871623,0.35338505920327157,1.0401969972871623
categorical__primary_vendor_SUSE,-1.0350803816213143,0.3551978284000836,1.0350803816213143
categorical__primary_cwe_CWE-121,1.031947563727228,2.806526404594248,1.031947563727228
categorical__primary_vendor_QSAN,-1.0189772448859737,0.3609639291527509,1.0189772448859737
categorical__primary_vendor_Milesight,-1.010049661289802,0.3642008924363464,1.010049661289802
categorical__primary_vendor_Johnson Controls,-1.0010757398247603,0.36748391138757663,1.0010757398247603
categorical__primary_vendor_zephyrproject-rtos,-0.9947186936083416,0.36982746474224254,0.9947186936083416
categorical__primary_cwe_CWE-312,-0.9803510280264582,0.3751793772574,0.9803510280264582
categorical__primary_cwe_CWE-682,-0.9662219737213098,0.38051793261099287,0.9662219737213098
categorical__primary_vendor_usememos,-0.9609432932745554,0.38253187598681254,0.9609432932745554
categorical__primary_vendor_Bitdefender,-0.958736292743287,0.38337705635404,0.958736292743287
categorical__primary_cwe_CWE-266,-0.9572156418334486,0.3839604825049243,0.9572156418334486
categorical__primary_cwe_CWE-326,-0.9533995875769434,0.38542849576617744,0.9533995875769434
categorical__integrity_impact_NONE,-0.9510319970642722,0.38634211372590077,0.9510319970642722
categorical__primary_cwe_CWE-327,-0.9486549429600263,0.3872615621894114,0.9486549429600263
categorical__scope_UNCHANGED,-0.9470005599398172,0.38790277139884316,0.9470005599398172
categorical__primary_vendor_Esri,-0.946534468837194,0.3880836115699986,0.946534468837194
categorical__primary_cwe_CWE-755,-0.944384036780077,0.3889190569714973,0.944384036780077
categorical__primary_cwe_CWE-824,-0.9432202239999902,0.3893719494303171,0.9432202239999902
categorical__primary_vendor_Siretta,-0.9389731197241961,0.3910291694035715,0.9389731197241961
categorical__primary_vendor_thorsten,-0.936920291558634,0.3918327095788481,0.936920291558634
categorical__primary_cwe_CWE-798,-0.9310008342947784,0.3941590250273886,0.9310008342947784
categorical__primary_cwe_CWE-681,-0.9309898541645579,0.3941633529685716,0.9309898541645579
categorical__primary_cwe_CWE-749,-0.9296253993054158,0.3947015381520231,0.9296253993054158
categorical__primary_vendor_Honeywell,-0.9270094133418247,0.39573542356088925,0.9270094133418247
categorical__primary_cwe_CWE-36,-0.9234957704595649,0.3971283421914135,0.9234957704595649
categorical__primary_vendor_glpi-project,-0.9229134578434662,0.39735966237907727,0.9229134578434662
categorical__primary_cwe_CWE-1321,-0.9166120842472152,0.3998714797020333,0.9166120842472152
categorical__primary_vendor_HGiga,-0.9130626827797209,0.40129330594225865,0.9130626827797209
categorical__primary_vendor_Advantech,-0.9025774188204382,0.4055231087272645,0.9025774188204382
categorical__primary_cwe_CWE-610,0.8961026102017077,2.450035735091036,0.8961026102017077
categorical__availability_impact_LOW,-0.8928703383057672,0.40947872186127776,0.8928703383057672
categorical__primary_vendor_Dell,-0.8834396107900649,0.4133586707244821,0.8834396107900649
categorical__primary_cwe_CWE-80,-0.8733262090386182,0.4175603438204741,0.8733262090386182
categorical__primary_vendor_nextcloud,-0.8731215388435397,0.41764581472387574,0.8731215388435397
categorical__primary_cwe_CWE-926,-0.8706927469578998,0.41866142234025916,0.8706927469578998
categorical__attack_vector_PHYSICAL,-0.869883002676318,0.4190005683251479,0.869883002676318
categorical__primary_vendor_jgraph,-0.8686756222117832,0.41950676695164574,0.8686756222117832
categorical__primary_vendor_OpenText,-0.8577461050880599,0.4241169208306254,0.8577461050880599
categorical__primary_vendor_Eaton,-0.8520395220924547,0.4265440980966759,0.8520395220924547
categorical__primary_vendor_unspecified,-0.8443761741530097,0.42982541079392783,0.8443761741530097
categorical__primary_vendor_discourse,-0.8392418135881198,0.4320379645968457,0.8392418135881198
categorical__primary_vendor_envoyproxy,-0.8386103502987909,0.4323108668658989,0.8386103502987909
categorical__primary_vendor_PHOENIX CONTACT,-0.8249889613134582,0.4382398300303628,0.8249889613134582
categorical__primary_vendor_mlflow,-0.8240204286588847,0.4386644852292997,0.8240204286588847
categorical__primary_cwe_CWE-1236,-0.8223165713397602,0.43941254403485713,0.8223165713397602
categorical__primary_vendor_ECOA,-0.8211360550845153,0.4399315839931241,0.8211360550845153
categorical__primary_vendor_OpenImageIO Project,-0.8180363003772616,0.4412973797137319,0.8180363003772616
categorical__primary_cwe_CWE-835,-0.8178241316801774,0.4413910191371384,0.8178241316801774
categorical__primary_cwe_CWE-668,-0.8146402470660488,0.44279859680515865,0.8146402470660488
categorical__primary_vendor_TP-Link,-0.8133203870420811,0.44338341482581656,0.8133203870420811
categorical__primary_cwe_CWE-91,-0.8094652624573153,0.4450960121457557,0.8094652624573153
categorical__primary_vendor_Kubernetes,-0.7999902678345852,0.4493333370823052,0.7999902678345852
categorical__primary_cwe_CWE-347,0.7989458905763148,2.2231962008438133,0.7989458905763148
categorical__primary_vendor_Weintek,-0.7988492136039423,0.4498463434159141,0.7988492136039423
categorical__primary_vendor_theonedev,-0.7981670585329247,0.4501533130688031,0.7981670585329247
categorical__primary_vendor_Elastic,-0.7839758557570315,0.45658707343947075,0.7839758557570315
categorical__primary_vendor_None,-0.7799243060353153,0.4584407111869238,0.7799243060353153
