coverage,efficiency,threshold
1.0,0.4397539714146644,0.0062626776008445975
1.0,0.43976370113060603,0.00965164943539344
1.0,0.43977343127710417,0.011211611171236192
1.0,0.4397831618541874,0.013791341870514501
1.0,0.43979289286188433,0.01428097741938889
1.0,0.4398026243002235,0.014525039424572506
1.0,0.4398123561692335,0.014644191897729529
1.0,0.43982208846894294,0.014655610420334477
1.0,0.4398318211993804,0.015179881443961006
1.0,0.4398415543605745,0.01581579998907141
1.0,0.4398512879525538,0.015856418877272713
1.0,0.4398610219753469,0.016098291721753623
1.0,0.43987075642898243,0.016109726764686527
1.0,0.439880491313489,0.016158862256168804
1.0,0.4398902266288952,0.016167410494425234
1.0,0.4398999623752296,0.016297806948863406
1.0,0.43990969855252093,0.01638758590738974
1.0,0.4399194351607977,0.01663443883211199
1.0,0.43992917220008854,0.016641730505612976
1.0,0.4399389096704221,0.016742121514282737
1.0,0.439948647571827,0.017853697029164683
1.0,0.43995838590433184,0.017992130627821342
1.0,0.4399681246679653,0.018626126489305894
1.0,0.43997786386275595,0.018717051231159892
1.0,0.43998760348873245,0.018893163311401423
1.0,0.43999734354592346,0.018965435997527848
1.0,0.44000708403435757,0.019152303277591883
1.0,0.44001682495406347,0.019255132876771445
1.0,0.44002656630506976,0.01933160686648591
1.0,0.44003630808740507,0.019755481866752536
1.0,0.4400460503010981,0.019775128780901045
1.0,0.4400557929461775,0.01999086567591641
1.0,0.4400655360226719,0.02008865412080031
1.0,0.44007527953061,0.0201720221372669
1.0,0.4400850234700204,0.02054738996710662
1.0,0.4400947678409317,0.020558471527517958
1.0,0.44010451264337275,0.02065003751991304
0.9999496880660093,0.44009211487788136,0.020703329388179995
0.9999496880660093,0.4401018600531444,0.021501530257653546
0.9999496880660093,0.44011160566000135,0.021529804852033013
0.9999496880660093,0.4401213516984809,0.02165918516913857
0.9998993761320185,0.4401089532076976,0.02171658162163331
0.9998993761320185,0.4401186996190982,0.02175104115930475
0.9998993761320185,0.4401284464621858,0.021760098738623047
0.9998993761320185,0.440138193736989,0.021875691620392188
0.9998993761320185,0.4401479414435364,0.02191209636248165
0.9998993761320185,0.44015768958185686,0.021935964351627864
0.9998993761320185,0.4401674381519789,0.021985555341843772
0.9998993761320185,0.44017718715393134,0.022146656007848212
0.9998993761320185,0.4401869365877428,0.0222650974250891
0.9998993761320185,0.440196686453442,0.02231534812558558
0.9998993761320185,0.44020643675105764,0.022802809688442057
0.9998993761320185,0.4402161874806184,0.022916286267614383
0.9998993761320185,0.44022593864215304,0.02293495434905361
0.9998993761320185,0.44023569023569026,0.022945445703514096
0.9998993761320185,0.44024544226125867,0.022959780310990285
0.9998993761320185,0.4402551947188871,0.022963106566372286
0.9998993761320185,0.44026494760860413,0.02301695776177809
0.9998993761320185,0.44027470093043863,0.023067296547837915
0.9998490641980278,0.4402623008927978,0.02326023186278693
0.9998490641980278,0.4402720545881519,0.023318740219164996
0.9998490641980278,0.4402818087156878,0.023332605715407625
0.9998490641980278,0.44029156327543423,0.02339940104886877
0.9998490641980278,0.44030131826741997,0.02345260700441378
0.9998490641980278,0.44031107369167366,0.02358228607728201
0.9998490641980278,0.44032082954822416,0.023621603241259743
0.9998490641980278,0.4403403425583302,0.02367029951288411
0.9998490641980278,0.4403500997119433,0.023671972157447183
0.9998490641980278,0.44035985729796806,0.0237474219182008
0.999798752264037,0.4403474561248006,0.02383589824206097
0.999798752264037,0.4403572140846943,0.02384389446977963
0.999798752264037,0.44036697247706424,0.023845185459092248
0.999798752264037,0.44037673130193905,0.024014393587543988
0.999798752264037,0.4403864905593476,0.02409315511531128
0.999798752264037,0.44039625024931855,0.02427364519272575
