model,precision,recall,f1,pr_auc,brier
2024 prevalence baseline,0.0,0.0,0.0,0.4397539714146644,0.2475162964328178
keyword baseline,0.7930414897092454,0.24426443952505533,0.3734902684821909,0.526049549062088,0.3603699278729147
VulnScope TF-IDF SVM,0.6326926119284924,0.8048400080499094,0.708458813108946,0.7642338749288337,0.177665274717584
