cve_id,date_published,primary_vendor,primary_cwe,cvss_score,priority_probability,title,description
CVE-2025-26568,2025-02-13 13:53:02.293000+00:00,jensmueller,CWE-352,7.1,0.04387588070084135,WordPress Easy Amazon Product Information plugin <= 4.0.1 - CSRF to Stored XSS vulnerability,Cross-Site Request Forgery (CSRF) vulnerability in jensmueller Easy Amazon Product Information easy-amazon-product-information allows Stored XSS.This issue affects Easy Amazon Product Information: from n/a through <= 4.0.1.
CVE-2025-26569,2025-02-13 13:53:02.863000+00:00,Callmeforsox,CWE-352,7.1,0.044254933978072036,WordPress Post Thumbs Plugin <= 1.5 - CSRF to Stored XSS vulnerability,Cross-Site Request Forgery (CSRF) vulnerability in Callmeforsox Post Thumbs allows Stored XSS. This issue affects Post Thumbs: from n/a through 1.5.
CVE-2025-48114,2025-05-16 15:45:07.460000+00:00,Shayan Farhang Pazhooh,CWE-352,7.1,0.04428757280992219,WordPress ShayanWeb Admin FontChanger plugin <= 1.9.1 - Cross Site Request Forgery (CSRF) to Stored XSS vulnerability,Cross-Site Request Forgery (CSRF) vulnerability in Shayan Farhang Pazhooh ShayanWeb Admin FontChanger shayanweb-admin-fontchanger allows Stored XSS.This issue affects ShayanWeb Admin FontChanger: from n/a through <= 1.9.1.
CVE-2025-23694,2025-01-16 20:06:43.206000+00:00,shabboscommerce,CWE-352,7.1,0.0443180226963064,WordPress Shabbos and Yom Tov plugin <= 1.9 - CSRF to Stored XSS vulnerability,Cross-Site Request Forgery (CSRF) vulnerability in shabboscommerce Shabbos and Yom Tov shabbos-and-yom-tov allows Stored XSS.This issue affects Shabbos and Yom Tov: from n/a through <= 1.9.
CVE-2025-23426,2025-01-16 20:05:58.849000+00:00,Binesh Dobhal,CWE-352,7.1,0.0443452114723991,WordPress go Social plugin <= 1.0 - CSRF to Stored Cross Site Scripting (XSS) vulnerability,Cross-Site Request Forgery (CSRF) vulnerability in Binesh Dobhal go Social go-social allows Stored XSS.This issue affects go Social: from n/a through <= 1.0.
CVE-2025-30995,2025-06-06 12:54:01.042000+00:00,OTWthemes,CWE-352,7.1,0.04447821114693947,WordPress Widgetize Pages Light plugin <= 3.0 - Cross Site Request Forgery (CSRF) to Stored XSS vulnerability,Cross-Site Request Forgery (CSRF) vulnerability in OTWthemes Widgetize Pages Light widgetize-pages-light allows Stored XSS.This issue affects Widgetize Pages Light: from n/a through <= 3.0.
CVE-2025-53312,2025-06-27 13:21:34.658000+00:00,Looks Awesome,CWE-352,7.1,0.0445539132815955,WordPress OnionBuzz plugin <= 1.0.7 - Cross Site Request Forgery (CSRF) Vulnerability,Cross-Site Request Forgery (CSRF) vulnerability in Looks Awesome OnionBuzz onionbuzz-viral-quiz allows Stored XSS.This issue affects OnionBuzz: from n/a through <= 1.0.7.
CVE-2025-31388,2025-04-09 16:10:05.955000+00:00,doa,CWE-352,7.1,0.044610226399078794,WordPress The World plugin <= 0.4 - CSRF to Stored XSS vulnerability,Cross-Site Request Forgery (CSRF) vulnerability in doa The World the-world allows Stored XSS.This issue affects The World: from n/a through <= 0.4.
CVE-2025-32623,2025-04-09 16:09:25.334000+00:00,plainware,CWE-352,7.1,0.044663260593142955,WordPress PlainInventory plugin <= 3.1.9 - CSRF to Stored XSS vulnerability,Cross-Site Request Forgery (CSRF) vulnerability in plainware PlainInventory z-inventory-manager allows Stored XSS.This issue affects PlainInventory: from n/a through <= 3.1.9.
CVE-2025-23675,2025-01-16 20:06:40.572000+00:00,Sana Ullah,CWE-352,7.1,0.044702948159723775,WordPress Import Users to MailChimp plugin <= 1.0 - CSRF to Stored XSS vulnerability,Cross-Site Request Forgery (CSRF) vulnerability in Sana Ullah Import Users to MailChimp import-users-to-mailchimp allows Stored XSS.This issue affects Import Users to MailChimp: from n/a through <= 1.0.
CVE-2025-22688,2025-02-03 14:23:52.028000+00:00,Ederson Peka,CWE-352,7.1,0.04474594183112352,WordPress Unlimited Page Sidebars plugin <= 0.2.6 - CSRF to Stored XSS vulnerability,Cross-Site Request Forgery (CSRF) vulnerability in Ederson Peka Unlimited Page Sidebars unlimited-page-sidebars allows Stored XSS.This issue affects Unlimited Page Sidebars: from n/a through <= 0.2.6.
CVE-2025-46507,2025-04-24 16:09:25.870000+00:00,ldrumm,CWE-352,7.1,0.04529850210622103,WordPress Unsafe Mimetypes plugin <= 0.1.4 - Cross Site Request Forgery (CSRF) to Stored XSS vulnerability,Cross-Site Request Forgery (CSRF) vulnerability in ldrumm Unsafe Mimetypes unsafe-mimetypes allows Stored XSS.This issue affects Unsafe Mimetypes: from n/a through <= 0.1.4.
CVE-2025-25126,2025-02-07 10:11:47.787000+00:00,zmseo,CWE-352,7.1,0.04530848703165055,WordPress ZMSEO plugin <= 1.14.1 - CSRF to Stored XSS vulnerability,Cross-Site Request Forgery (CSRF) vulnerability in zmseo ZMSEO zmseo allows Stored XSS.This issue affects ZMSEO: from n/a through <= 1.14.1.
CVE-2025-48351,2025-08-28 12:37:04.134000+00:00,PluginsPoint,CWE-352,7.1,0.045425171830455566,WordPress Kento Splash Screen plugin <= 1.4 - Cross Site Request Forgery (CSRF) to Stored XSS vulnerability,Cross-Site Request Forgery (CSRF) vulnerability in PluginsPoint Kento Splash Screen kento-splash-screen allows Stored XSS.This issue affects Kento Splash Screen: from n/a through <= 1.4.
CVE-2025-39435,2025-04-17 15:16:56.011000+00:00,davidfcarr,CWE-352,7.1,0.045532855287918866,WordPress My Marginalia plugin <= 1.0.6 - CSRF to Stored XSS vulnerability,Cross-Site Request Forgery (CSRF) vulnerability in davidfcarr My Marginalia my-marginalia allows Stored XSS.This issue affects My Marginalia: from n/a through <= 1.0.6.
CVE-2025-23533,2025-01-16 20:06:10.699000+00:00,zetxek,CWE-352,7.1,0.0455920463637226,WordPress WP Lyrics plugin <= 0.4.1 - CSRF to Stored XSS vulnerability,Cross-Site Request Forgery (CSRF) vulnerability in zetxek WP Lyrics wplyrics allows Stored XSS.This issue affects WP Lyrics: from n/a through <= 0.4.1.
CVE-2025-32505,2025-04-09 16:09:41.314000+00:00,SCAND,CWE-352,7.1,0.04559639953049698,WordPress MultiMailer plugin <= 1.0.3 - CSRF to Stored XSS vulnerability,Cross-Site Request Forgery (CSRF) vulnerability in SCAND MultiMailer scand-multi-mailer allows Stored XSS.This issue affects MultiMailer: from n/a through <= 1.0.3.
CVE-2025-39547,2025-04-16 12:44:38.197000+00:00,Toast Plugins,CWE-352,7.1,0.04572729980790397,WordPress Internal Link Optimiser plugin <= 5.1.3 - CSRF to XSS vulnerability,Cross-Site Request Forgery (CSRF) vulnerability in Toast Plugins Internal Link Optimiser internal-link-finder allows Stored XSS.This issue affects Internal Link Optimiser: from n/a through <= 5.1.3.
CVE-2025-49411,2025-08-20 08:03:45.380000+00:00,Vikas Sharma,CWE-79,7.1,0.045986687240322524,WordPress iFrame Block plugin <= 0.1.1 - Cross Site Scripting (XSS) vulnerability,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in Vikas Sharma iFrame Block allows Stored XSS. This issue affects iFrame Block: from n/a through 0.1.1.
CVE-2025-31906,2025-04-01 14:52:24.422000+00:00,ProfitShare.ro,CWE-352,7.1,0.04646834126946863,WordPress WP Profitshare Plugin <= 1.4.9 - CSRF to Stored XSS vulnerability,Cross-Site Request Forgery (CSRF) vulnerability in ProfitShare.ro WP Profitshare wp-profitshare allows Stored XSS.This issue affects WP Profitshare: from n/a through <= 1.4.9.
CVE-2025-32478,2025-04-09 16:09:55.796000+00:00,Mario Aguiar,CWE-352,7.1,0.04646834126946863,WordPress WP SexyLightBox plugin <= 0.5.3 - CSRF to Stored XSS vulnerability,Cross-Site Request Forgery (CSRF) vulnerability in Mario Aguiar WP SexyLightBox wp-sexylightbox allows Stored XSS.This issue affects WP SexyLightBox: from n/a through <= 0.5.3.
CVE-2025-46524,2025-04-24 16:08:58.832000+00:00,stesvis,CWE-352,7.1,0.04648487875560841,WordPress WP Filter Post Category plugin <= 2.1.4 - Cross Site Request Forgery (CSRF) to Stored XSS vulnerability,Cross-Site Request Forgery (CSRF) vulnerability in stesvis WP Filter Post Category wp-filter-post-categories allows Stored XSS.This issue affects WP Filter Post Category: from n/a through <= 2.1.4.
CVE-2025-32481,2025-04-09 16:09:53.874000+00:00,ninotheme,CWE-352,7.1,0.047249666643932514,WordPress Nino Social Connect plugin <= 2.0 - CSRF to Stored XSS vulnerability,Cross-Site Request Forgery (CSRF) vulnerability in ninotheme Nino Social Connect nino-social-connect allows Stored XSS.This issue affects Nino Social Connect: from n/a through <= 2.0.
CVE-2025-48238,2025-05-19 14:44:52.236000+00:00,awcode,CWE-352,7.1,0.047384846462866906,WordPress AWcode Toolkit plugin <= 1.0.18 - Cross Site Request Forgery (CSRF) to Stored XSS vulnerability,Cross-Site Request Forgery (CSRF) vulnerability in awcode AWcode Toolkit awcode-toolkit allows Stored XSS.This issue affects AWcode Toolkit: from n/a through <= 1.0.18.
