feature
cvss_score
attack_vector
attack_complexity
privileges_required
user_interaction
scope
confidentiality_impact
integrity_impact
availability_impact
primary_cwe
primary_vendor
cwe_count
vendor_count
product_count
affected_version_count
reference_count
ref_vendor_advisory
ref_third_party_advisory
ref_patch
ref_exploit
ref_vdb
ref_issue_tracking
ref_mailing_list
ref_government
ref_release_notes
ref_mitigation
ref_technical_description
tag_remote
tag_code_execution
tag_denial_of_service
tag_authenticated
tag_unauthenticated
tag_sql_injection
tag_xss
tag_buffer_overflow
tag_privilege_escalation
tag_use_after_free
tag_path_traversal
tag_command_injection
tag_information_disclosure
tag_memory_corruption
