Unnamed: 0,cve_id,publication_year,primary_vendor,product_count,reference_count,days_reserved_to_published
39312,CVE-2009-3555,2009.0,,0,310,35.708333
62469,CVE-2014-0224,2014.0,,0,305,184.875
65407,CVE-2014-3566,2014.0,,0,265,154.0
74243,CVE-2015-4000,2015.0,,0,219,6.0
19640,CVE-2006-4339,2006.0,,0,209,12.708333
